comment,author,time
皇后沒招都要拿姊姊出來擋😂,@queenstar860217,2023-12-23T10:49:26Z
一直覺得這邊很怪皇帝前一刻兇環環後一刻突然又大笑瘋子男,@queenstar860217,2023-12-23T10:18:55Z
雖然這段真的很好看，但過好幾年看發現劇情有點扯🤣🤣怎麼宮裡的人隨便要出去找外人進來都可以哈哈，不過甄嬛傳也不是什麼歷史紀錄片，倒是沒關係,@user-uq8nh6qe8l,2023-12-22T12:30:15Z
沒死在靜白手裡，她也倒還不算狠毒XDDD,@user-ul3sb8ek8h,2023-12-15T13:32:51Z
蘇公公：溫太醫和槿汐怎麼可能是奴才的孩子<br>連皇上都笑了😂😂,@user-ul3sb8ek8h,2023-12-15T13:20:36Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=36m48s"">36:48</a>  為什麼皇后已經跪下了   江福海不用一起跪??",@king40226,2023-12-13T15:34:11Z
祺貴人：哼！大不了我去看我師兄絕美的容顏。,@joyyang8100,2023-12-11T18:43:11Z
寧貴人好霸氣好愛哈哈哈<br>又聰明又有傲氣,@corner10,2023-12-10T03:15:39Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m15s"">26:15</a> 蘇公公太厲害了 一句話緩和氣氛",@neko5876,2023-12-06T05:52:11Z
甘露寺原來那麼近 來回不用一個時辰,@garuru,2023-12-05T14:23:39Z
嬛嬛好聪明啊,@kafn85334,2023-12-04T04:45:30Z
靜白的舌頭👅被刪掉了呢😢,@user-eo2wr9tn8v,2023-11-28T12:19:37Z
寧貴人的心胸真是寬大，為了她所愛確無緣的果子狸，竟然肯這麼維護熹貴妃，真是令人佩服。,@user-wu5ch4dy9o,2023-11-28T10:38:46Z
這集是全劇最精彩的，但凡熹貴妃心虛一下不夠冷靜，就會被套進陷阱，當然熹隊友個個也是很給力的。可惜溫太醫自宮了，唯一一個傷最重的。演員演的好，場景張力非常夠,@user-rk9ck4kw4g,2023-11-27T02:29:14Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=37m27s"">37:27</a>皇后這廢物，在最緊要關頭只會打出姐妹牌來取得皇上同情，久了皇帝自然厭煩",@user-wo6or3sb6t,2023-11-27T02:00:34Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=6m34s"">6:34</a> 看到有人影離場，倒回去看發現，原來寧貴人的宮女阿綠是這時候跑出去報信的，時間線太細緻了❤",@user-ek4jj1by7v,2023-11-23T06:06:11Z
甄嬛大殺四方好威喔！氣勢超強超派，緋聞根本不是對手😂 可憐哪~,@syuu1007,2023-11-20T15:30:40Z
期待農曆春節的馬拉松直播😊,@tingtingc3356,2023-11-20T00:14:00Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=25m38s"">25:38</a> 蘇妃：欸等等等等等關我什麼事？？？",@Emily-rr3sj,2023-11-19T19:25:34Z
棋貴人： 你…<br>皇上： 你閉嘴<br>笑死我😂😂😂,@melodyschannel4604,2023-11-17T04:35:43Z
後宮女人，各個都是綠帽妻,@peggychen2819,2023-11-14T09:29:43Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m12s"">26:12</a> <br>蘇妃：奴才沒有生育能力，溫太醫和槿汐怎麼可能是奴才的孩子….<br>超好笑哈哈哈哈",@sandra9285,2023-11-12T08:13:23Z
